id,cx,cy,dwell_sec,n_stays,n_teams,n_games
652,-25539.5,8992.7,95,2,1,1
757,12998.6,3646.2,95,2,1,1
879,35442.2,-3345.2,95,2,1,1
901,15225.4,-29742.2,95,2,1,1
910,17990.3,-30067.1,95,1,1,1
134,-7688.8,1658.0,90,1,1,1
180,15262.5,-28546.5,90,2,2,2
257,-39031.3,-8621.9,90,2,1,1
297,-7688.0,-27814.0,90,2,2,2
398,26139.4,5103.2,90,2,1,1
468,13477.4,-7284.8,90,2,1,1
493,10967.2,22100.4,90,3,1,1
568,29635.0,-12015.9,90,2,1,1
584,7724.3,-19471.5,90,2,1,1
593,4152.6,-16811.1,90,1,1,1
606,-19980.0,29256.5,90,2,1,1
650,-17190.4,17522.8,90,1,1,1
892,16052.4,-31874.8,90,2,1,1
2,-14844.9,29562.4,85,1,1,1
232,11187.4,4354.8,85,2,1,1
415,-15420.4,-29176.3,85,1,1,1
442,25195.4,42129.9,85,2,1,1
488,-16357.3,-32539.8,85,2,1,1
524,24738.5,19249.4,85,2,1,1
527,28994.9,25144.1,85,2,1,1
544,29961.0,-12200.9,85,2,1,1
569,1916.1,-11753.1,85,2,2,2
605,-19616.5,29548.5,85,1,1,1
670,10813.0,29682.2,85,2,2,1
686,-546.3,25352.4,85,1,1,1
175,24171.5,-20480.5,80,1,1,1
178,22469.6,-20413.4,80,2,2,2
202,21117.9,-28900.0,80,2,1,1
205,20003.1,-33000.6,80,2,1,1
226,3787.2,6488.0,80,1,1,1
270,-27732.6,-5410.9,80,2,1,1
309,-42425.0,20637.8,80,2,1,1
314,-39036.3,23941.4,80,2,1,1
339,8000.7,40667.0,80,2,2,2
421,-14122.7,-28337.2,80,2,1,1
485,-22648.6,-20437.6,80,1,1,1
496,4773.9,42003.7,80,1,1,1
498,10059.6,38150.6,80,2,2,1
571,9936.0,-18649.4,80,2,1,1
707,-100.9,-10534.7,80,1,1,1
724,4818.5,36210.9,80,2,2,2
727,8104.4,37980.8,80,2,1,1
800,21665.1,-26257.9,80,2,1,1
821,27117.3,4308.2,80,2,1,1
900,14208.2,-27534.2,80,1,1,1
905,13148.5,-14958.8,80,1,1,1
45,24295.1,3840.8,75,2,2,1
58,34709.8,6951.3,75,2,2,2
120,-7592.8,2613.3,75,1,1,1
129,-15407.3,-917.4,75,1,1,1
192,2707.5,-33972.8,75,2,1,1
204,21716.5,-18903.1,75,2,2,1
212,-94.6,12593.0,75,2,1,1
250,13455.4,4257.0,75,2,2,2
321,-36650.1,18817.9,75,2,2,2
328,17646.0,38684.3,75,2,2,2
330,4036.7,32727.5,75,2,2,2
350,-8611.1,-4480.9,75,2,1,1
355,-13732.8,322.7,75,1,1,1
401,9235.9,806.6,75,2,1,1
500,8164.3,37540.6,75,1,1,1
535,28163.8,26241.5,75,2,2,1
556,28336.2,-14228.6,75,1,1,1
610,-16520.6,15957.6,75,2,2,2
636,-19328.9,19811.0,75,2,2,1
659,-30106.0,5661.6,75,2,1,1
661,7388.6,20249.2,75,2,2,1
669,12026.2,28019.2,75,1,1,1
733,21355.4,18623.5,75,2,1,1
749,4891.8,16082.4,75,2,1,1
776,-35879.3,5522.6,75,1,1,1
831,33545.4,10154.8,75,2,1,1
875,37782.9,-12397.9,75,1,1,1
886,16760.4,-30922.4,75,2,1,1
16,-6322.5,36905.3,70,2,1,1
116,10684.8,-2620.6,70,1,1,1
142,-8963.5,-2055.2,70,1,1,1
160,-1678.4,7783.8,70,1,1,1
166,11170.2,-990.6,70,2,2,2
188,29226.0,-27602.8,70,1,1,1
198,14010.5,-28615.4,70,2,2,2
268,-19160.5,33246.5,70,2,2,2
269,-34546.8,-7857.6,70,2,1,1
292,-6816.0,-19197.7,70,2,1,1
308,-39764.9,21361.0,70,2,1,1
389,21013.9,-2052.2,70,2,1,1
403,13269.1,2514.1,70,1,1,1
431,18614.0,20969.9,70,2,2,2
448,21059.7,32013.6,70,2,1,1
638,-22319.6,12687.1,70,2,2,2
679,259.5,12395.4,70,1,1,1
716,5171.6,-22457.2,70,2,2,2
719,2835.8,43973.2,70,1,1,1
732,2663.8,32320.3,70,2,2,2
764,6801.1,44049.0,70,1,1,1
866,32822.7,-11166.6,70,1,1,1
888,17258.2,-27969.1,70,1,1,1
21,-10942.9,26506.5,65,2,2,2
28,-14166.2,32085.1,65,2,2,2
154,-23361.1,34211.0,65,1,1,1
227,8237.9,6311.4,65,1,1,1
302,-35854.4,20934.8,65,2,2,2
336,10706.4,43996.4,65,2,1,1
366,-22157.8,-18362.5,65,2,1,1
474,25236.5,-4375.0,65,2,2,2
492,10910.5,22990.3,65,2,1,1
560,24256.3,-8107.7,65,2,1,1
613,-21986.1,30134.6,65,1,1,1
616,-16465.1,19206.2,65,2,2,2
635,-20931.9,18962.3,65,2,1,1
649,-16114.0,15725.6,65,2,1,1
742,24783.6,17205.5,65,2,1,1
752,-4864.9,14185.5,65,2,2,2
777,-46.3,18523.2,65,2,1,1
789,4588.2,15400.0,65,1,1,1
796,21440.5,-18288.1,65,2,1,1
824,17270.6,-6987.0,65,2,1,1
30,30671.8,-12006.5,60,2,2,2
90,9043.7,-2777.1,60,1,1,1
98,11397.4,-1651.1,60,1,1,1
128,-13549.1,2164.6,60,1,1,1
130,-12760.9,5060.3,60,2,1,1
138,-8545.2,-7015.8,60,1,1,1
236,-30.9,1786.7,60,1,1,1
246,7660.2,4002.4,60,1,1,1
288,-11697.3,-24962.3,60,2,2,2
289,-11561.3,-24711.1,60,2,2,2
293,-6183.1,-18772.8,60,2,1,1
385,22974.0,8131.0,60,2,1,1
399,8843.2,-40.0,60,2,2,1
405,-6389.3,-33647.1,60,1,1,1
412,-18217.6,-27857.7,60,1,1,1
424,-7966.2,-28258.3,60,2,2,2
447,26360.5,36514.2,60,2,1,1
463,29152.4,-12043.2,60,2,1,1
504,12594.5,42663.1,60,1,1,1
526,29255.9,25050.0,60,1,1,1
574,6880.1,-16675.9,60,1,1,1
582,6530.5,-16713.1,60,2,1,1
618,-23461.6,32681.0,60,1,1,1
646,-19244.0,18873.3,60,1,1,1
687,4210.7,-4217.0,60,2,1,1
699,2367.8,-10079.7,60,1,1,1
746,9530.9,2644.2,60,1,1,1
891,15450.6,-34451.4,60,1,1,1
